brand,name,old_price,new_price,store
Kenmore,Kenmore 50049 25 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser - Black,1599.99,619.88,Sears
Frigidaire,Frigidaire FRFS2823AW  27.8 cu. ft. French Door Refrigerator &#8211; White,,2599.99,Sears
Costway,Costway STAKOL 3 cu.ft. Compact Upright Freezer w/Single Stainless Steel Door Removable Shelves,389.99,259.99,factorydirectsale
Kenmore,Kenmore 50042  25 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser - White,1599.99,989.88,Sears
LG,LG LRMDS3006S  29.5 cu. ft. Super-Capacity 4-Door Refrigerator w/ Door-in-Door&#174; & Craft Ice&#8482; &#8211; Stainless Steel,3599.99,2899.99,Sears
LG,LG LRSXS2706V  27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser &#8211; Stainless Steel Look,1665.99,1199.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRFC2353AF  22.6 cu. ft. Counter-Depth French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,3299.99,2049.99,Sears
Kenmore,Kenmore 71215  21 cu. ft. Top-Freezer Fridge with Ice Maker - Fingerprint-Resistant Stainless Steel,1349.99,1129.99,Sears
Kenmore,Kenmore 51752 21 ct. ft. Side-by-Side Refrigerator - White,1599.99,695.88,Sears
GE Appliances,GE Appliances GDE21EMKES 20.9 cu. ft. Bottom Freezer Refrigerator - Slate,1999.99,1799.96,Sears
GE Appliances,GE Appliances GFE28GMKES 27.8 cu. ft. French Door Refrigerator - Slate,3299.99,2969.96,Sears
GE Appliances,GE Appliances GNE25JMKES 25 cu. ft. French Door Refrigerator - Slate,2099.99,1889.96,Sears
LG,LG LRSXS2706B  27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser &#8211; Smooth Black,,1721.99,Sears
Coca-Cola,Coca-Cola 4L Cooler/Warmer w/ Bluetooth Speaker 12V DC 110V AC Mini Fridge Red,109.99,97.99,Sears
LG,LG LRSXC2306S  23 cu. ft. Side-by-Side Counter-Depth Refrigerator w/ Smooth Touch Dispenser &#8211; Stainless Steel,1832.99,1399.99,Sears
Frigidaire,Frigidaire FFTR2045VW  20.0 cu. ft. Top Freezer Refrigerator &#8211; White,949.99,679.99,Sears
BLACK+DECKER,"BLACK+DECKER 3.2 Cu. Ft. Compact Refrigerator,Black",389.99,269.99,My Home Products LLC
GE Appliances,GE Appliances GBE21DYKFS ENERGY STAR&#174; 21.0 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,,1549.99,Sears
LG,"LG LRTLS2403S   33"" Width 23.8 cu. ft. Top Freezer Refrigerator with Internal Water Dispenser - Stainless Steel",1110.99,899.96,Sears
Frigidaire,Frigidaire FFTR2045VB  20.0 cu. ft. Top Freezer Refrigerator &#8211; Black,949.99,679.99,Sears
GE Appliances,GE Appliances GSS25GGPWW 25.3 Cu. Ft. Side-By-Side Refrigerator - White,,1699.99,Sears
Samsung,Samsung RF22A4221SR/AA 22 cu. ft. Smart 3-Door French Door Refrigerator with External Water Dispenser in Fingerprint Resistant Stainless,1979.00,1699.00,Bluelight
LG,LG LRSOS2706S  27.1 cu. ft. Side-by-Side InstaView&#174; Refrigerator with Craft Ice&#8482; &#8211; PrintProof&#8482; Stainless Steel,2099.99,1699.99,Sears
Samsung,"Samsung RF29BB860012AA Bespoke 4-Door French Door Refrigerator (29 Cu. Ft.) with Beverage Center in White Glass, Standard Depth",3699.99,2494.00,Sears
Frigidaire,Frigidaire FRSS2623AD 25.6 cu. ft. Side-by-Side Refrigerator &#8211; Black Stainless Steel,1599.99,1199.99,Sears
GE Appliances,GE Appliances GSS25GGPCC 25.3 Cu. Ft. Side-By-Side Refrigerator - Bisque,,1699.99,Sears
Kenmore,Kenmore 50045 25 cu. ft. Side-by-Side Fingerprint Resistant Refrigerator  with Ice & Water Dispenser - Stainless Steel,1799.99,711.88,Sears
GE Cafe,GE Cafe CYE22TP4MW2 22.2 cu. ft. Counter-Depth French Door Refrigerator w/ Hot Water Dispenser-White,4099.99,3689.99,Sears
GE Appliances,GE Appliances GZS22DSJSS 21.9 cu. ft. Counter-Depth Side-by-Side Refrigerator - Stainless Steel,,2699.99,Sears
Samsung,Samsung RF27T5201SG/AA 27 cu. ft. French Door Refrigerator - Black Stainless Steel,2699.99,2427.29,Sears
NewAir,NewAir Stone® Brewing 126 Can Beverage Refrigerator and Cooler with SplitShelf™ and Adjustable Shelves for Beer and Soda,,349.99,Newair
LG,LG LMXS28626D   27.8 cu. ft. Smart Wi-Fi Enabled 4-Door French Door Refrigerator - Black Stainless Steel,3199.99,2099.99,Sears
Frigidaire,Frigidaire FFHT1835VS  18.3 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel,999.99,769.96,Sears
LG,LG LRFLC2706S  27 cu.ft. Smart Counter-Depth Max French Door Refrigerator &#8211; Print Proof Stainless Steel,2499.99,1899.99,Sears
NewAir,NewAir Arrogant Bastard 125 Can Beer Froster Beverage Refrigerator with Fast Frosting Modes,,848.88,Newair
LG,LG LRMDS3006D  29.5 cu. ft. Super-Capacity 4-Door Refrigerator w/ Door-in-Door&#174; & Craft Ice&#8482; &#8211; Black Stainless Steel,3699.99,2999.99,Sears
Kenmore,Kenmore 61332  20.5 cu. ft. Top Freezer Refrigerator &#8211; White,1199.99,949.99,Sears
NewAir,"NewAir Stone® Brewing 180 Can FlipShelf™ 24"" Built-In Beverage and Beer Refrigerator",,799.99,Newair
GE Appliances,"GE Appliances GFE26JGMWW 36"" 25.6 cu.ft. White French Door Refrigerator",2599.99,2339.96,Sears
NewAir,"NewAir Shadow-Tᵀᴹ Series Wine Cooler Refrigerator, 12 Bottle Countertop Mirrored Compact Wine Cellar with Triple-Layer Tempered",,249.99,Newair
Frigidaire,Frigidaire FRFC2323AS  22.6 cu. ft. Counter-Depth French Door Refrigerator &#8211; Stainless Steel,2999.99,1949.99,Sears
GE Appliances,GE Appliances GZS22DGJWW 21.9 cu. ft. Counter Depth Side-by-Side Refrigerator - White,,2599.99,Sears
NewAir,"NewAir Stone® Brewing Live Buena Beverage Refrigerator and Cooler, 60 Can Buenaveza Lager Mini Fridge with Glass Door",,299.00,Newair
